 surface  401.3                                                                                                                        
      energy   
    0.0000E+00   0.00000E+00 0.0000
    1.0000E-03   0.00000E+00 0.0000
    1.0690E-03   0.00000E+00 0.0000
    1.1380E-03   0.00000E+00 0.0000
    1.2070E-03   0.00000E+00 0.0000
    1.2760E-03   0.00000E+00 0.0000
    1.3450E-03   0.00000E+00 0.0000
    1.4140E-03   8.63384E-11 1.0000
    1.4830E-03   8.69040E-11 1.0000
    1.5520E-03   1.23760E-10 0.7599
    1.6210E-03   1.12346E-10 0.7357
    1.6900E-03   4.18570E-11 0.7074
    1.7590E-03   1.01719E-10 0.8251
    1.8280E-03   1.55883E-10 0.7071
    1.8970E-03   7.78083E-11 1.0000
    1.9660E-03   0.00000E+00 0.0000
    2.0350E-03   0.00000E+00 0.0000
    2.1040E-03   0.00000E+00 0.0000
    2.1730E-03   0.00000E+00 0.0000
    2.2420E-03   0.00000E+00 0.0000
    2.3110E-03   5.40719E-11 1.0000
    2.3800E-03   6.80223E-11 1.0000
    2.4490E-03   0.00000E+00 0.0000
    2.5180E-03   0.00000E+00 0.0000
    2.5870E-03   0.00000E+00 0.0000
    2.6560E-03   1.30178E-10 0.7071
    2.7250E-03   9.14044E-11 0.7681
    2.7940E-03   0.00000E+00 0.0000
    2.8630E-03   6.02409E-11 1.0000
    2.9320E-03   6.01534E-11 1.0000
    3.0010E-03   0.00000E+00 0.0000
    3.0700E-03   0.00000E+00 0.0000
    3.1390E-03   0.00000E+00 0.0000
    3.2080E-03   0.00000E+00 0.0000
    3.2770E-03   0.00000E+00 0.0000
    3.3460E-03   0.00000E+00 0.0000
    3.4150E-03   4.30304E-11 1.0000
    3.4840E-03   0.00000E+00 0.0000
    3.5530E-03   5.24902E-11 1.0000
    3.6220E-03   5.22565E-11 1.0000
    3.6910E-03   4.76574E-11 1.0000
    3.7600E-03   0.00000E+00 0.0000
    3.8290E-03   5.19372E-11 1.0000
    3.8980E-03   4.90306E-11 1.0000
    3.9670E-03   3.93635E-11 1.0000
    4.0360E-03   3.81589E-11 1.0000
    4.1050E-03   0.00000E+00 0.0000
    4.1740E-03   0.00000E+00 0.0000
    4.2430E-03   4.64289E-11 1.0000
    4.3120E-03   4.62623E-11 1.0000
    4.3810E-03   9.25976E-11 0.7071
    4.4500E-03   8.41485E-11 0.7105
    4.5190E-03   4.39693E-11 1.0000
    4.5880E-03   4.62346E-11 1.0000
    4.6570E-03   0.00000E+00 0.0000
    4.7260E-03   6.58738E-11 0.7527
    4.7950E-03   4.54547E-11 1.0000
    4.8640E-03   1.22996E-10 0.5785
    4.9330E-03   0.00000E+00 0.0000
    5.0020E-03   1.54037E-10 0.5021
    5.0710E-03   7.12468E-11 0.7100
    5.1400E-03   7.33730E-11 0.7198
    5.2090E-03   0.00000E+00 0.0000
    5.2780E-03   8.53873E-11 0.7073
    5.3470E-03   3.97608E-11 1.0000
    5.4160E-03   1.04887E-10 0.5919
    5.4850E-03   2.23893E-10 0.4172
    5.5540E-03   1.62610E-10 0.5003
    5.6230E-03   7.88645E-11 0.7080
    5.6920E-03   4.14181E-11 1.0000
    5.7610E-03   1.62263E-10 0.5003
    5.8300E-03   7.72860E-11 0.7089
    5.8990E-03   0.00000E+00 0.0000
    5.9680E-03   1.22553E-10 0.5775
    6.0370E-03   1.60021E-10 0.5009
    6.1060E-03   7.56241E-11 0.7094
    6.1750E-03   3.46565E-11 1.0000
    6.2440E-03   0.00000E+00 0.0000
    6.3130E-03   3.89797E-11 1.0000
    6.3820E-03   7.87544E-11 0.7071
    6.4510E-03   6.58377E-11 0.7207
    6.5200E-03   5.87220E-11 0.7468
    6.5890E-03   1.42385E-10 0.5048
    6.6580E-03   8.42114E-11 0.5945
    6.7270E-03   7.57382E-11 0.7071
    6.7960E-03   8.27232E-11 0.6015
    6.8650E-03   0.00000E+00 0.0000
    6.9340E-03   7.10821E-11 0.7073
    7.0030E-03   1.78784E-10 0.4498
    7.0720E-03   7.44536E-11 0.7072
    7.1410E-03   1.01569E-10 0.5780
    7.2100E-03   2.10980E-10 0.4093
    7.2790E-03   1.85461E-10 0.4473
    7.3480E-03   3.77034E-11 1.0000
    7.4170E-03   2.76714E-10 0.3573
    7.4860E-03   9.42553E-11 0.5985
    7.5550E-03   1.59414E-10 0.4596
    7.6240E-03   0.00000E+00 0.0000
    7.6930E-03   9.21345E-11 0.5917
    7.7620E-03   5.92624E-11 0.7242
    7.8310E-03   1.51729E-10 0.4559
    7.9000E-03   1.69054E-10 0.4546
    7.9690E-03   6.91660E-11 0.7078
    8.0380E-03   1.33627E-10 0.5044
    8.1070E-03   6.69094E-11 0.7072
    8.1760E-03   9.27135E-11 0.5980
    8.2450E-03   3.39855E-11 1.0000
    8.3140E-03   1.44508E-10 0.5011
    8.3830E-03   1.24687E-10 0.5095
    8.4520E-03   0.00000E+00 0.0000
    8.5210E-03   8.59866E-11 0.5938
    8.5900E-03   3.68997E-11 1.0000
    8.6590E-03   1.08477E-10 0.5781
