energy	weight
57.981	0.572982
59.3182	1.00154
66.9501	0.114413
67.244	0.22147
1.4	0
1.6	0
1.8	0
2	0
2.2	0
2.4	0
2.6	0
2.8	0
3	0
3.2	0
3.4	0
3.6	0
3.8	0
4	0
4.2	0
4.4	0
4.6	0
4.8	0
5	0
5.2	0
5.4	0
5.6	0
5.8	0
6	0
6.2	0
6.4	0
6.6	0
6.8	0
7	0
7.2	0
7.4	0
7.6	0
7.8	0
8	0
8.2	0
8.4	0
8.6	0
8.8	0
9	0.000001
9.2	0.000003
9.4	0.00001
9.6	0.000035
9.8	0.000106
10	0.000296
10.2	0.00078
10.4	0.001438
10.6	0.003328
10.8	0.007242
11	0.014892
11.2	0.029088
11.4	0.054205
11.6	0.085499
11.8	0.147157
12	0.244255
12.2	0.369176
12.4	0.576315
12.6	0.874425
12.8	1.29232
13	1.86407
13.2	2.62898
13.4	3.63129
13.6	4.91967
13.8	6.54656
14	8.56721
14.2	11.0387
14.4	14.0188
14.6	17.5648
14.8	21.7321
15	26.5737
15.2	32.2832
15.4	38.8031
15.6	46.176
15.8	54.4379
16	63.6173
16.2	73.7349
16.4	84.8033
16.6	96.8273
16.8	109.803
17	123.72
17.2	138.56
17.4	154.296
17.6	170.898
17.8	188.327
18	206.541
18.2	225.493
18.4	245.132
18.6	265.404
18.8	286.252
19	307.62
19.2	329.447
19.4	351.673
19.6	374.239
19.8	397.085
20	420.151
20.2	443.92
20.7	1259.46
21.2	1408.98
21.7	1556.43
22.2	1700.1
22.7	1838.59
23.2	1970.74
23.7	2095.63
24.2	2212.61
24.7	2321.21
25.2	2421.15
25.7	2512.29
26.2	2594.63
26.7	2668.29
27.2	2733.46
27.7	2790.39
28.2	2839.4
28.7	2880.83
29.2	2915.05
29.7	2942.45
30.2	2964.24
30.7	2981.1
31.2	2992.18
31.7	2997.85
32.2	2998.5
32.7	2994.5
33.2	2986.18
33.7	2973.89
34.2	2957.93
34.7	2938.62
35.2	2916.23
35.7	2891.04
36.2	2863.27
36.7	2833.18
37.2	2800.98
37.7	2766.86
38.2	2731.03
38.7	2693.64
39.2	2654.87
39.7	2614.86
40.2	2573.97
40.7	2532.4
41.2	2489.94
41.7	2446.69
42.2	2402.76
42.7	2358.24
43.2	2313.22
43.7	2267.78
44.2	2221.99
44.7	2175.91
45.2	2129.62
45.7	2083.16
46.2	2036.58
46.7	1989.93
47.2	1943.26
47.7	1896.59
48.2	1849.97
48.7	1803.43
49.2	1756.99
49.7	1710.68
50.2	1664.58
50.7	1618.74
51.2	1573.07
51.7	1527.6
52.2	1482.34
52.7	1437.3
53.2	1392.49
53.7	1347.93
54.2	1303.61
54.7	1259.55
55.2	1215.75
55.7	1172.22
56.2	1128.95
56.7	1085.96
57.2	1043.23
57.7	1000.77
58.2	958.582
58.7	916.656
59.2	874.99
59.7	833.581
60.2	792.442
60.7	751.573
61.2	710.932
61.7	670.511
62.2	630.298
62.7	590.282
63.2	550.446
63.7	510.775
64.2	471.248
64.7	431.841
65.2	392.527
65.7	353.271
66.2	314.03
66.7	274.751
67.2	235.363
67.7	195.766
68.2	155.818
68.7	115.287
69.2	73.7414
69.7	30.0514
